country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index,alliance_flag,continent,region,flag_image_url,total_military_hardware,assets_per_capita,budget_gdp_ratio,rank,power_index_rank_gap
Madagascar,29452714.0,52968000000.0,147630000.0,11192031.0,13500.0,0.0,300.0,21600.0,500.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,17.0,0.0,3548000000.0,3.0381,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Madagascar.svg/25px-Flag_of_Madagascar.svg.png,25.0,2.2e-06,0.00279,131,130
Romania,18148155.0,774376000000.0,10230630000.0,9437041.0,90000.0,55000.0,11700.0,39250.0,6800.0,148.0,0.0,29.0,13.0,66.0,2.0,44.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,7.0,451.0,0.0,720.0,243.0,145200000000.0,0.9558,NATO,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Romania.svg/25px-Flag_of_Romania.svg.png,617.0,6.54e-05,0.01321,52,51
Philippines,118277063.0,1202000000000.0,6571641011.0,50859137.0,160000.0,1500000.0,33600.0,1310000.0,42270.0,204.0,17.0,0.0,23.0,130.0,11.0,23.0,6.0,0.0,127.0,0.0,0.0,0.0,4.0,1.0,0.0,60.0,0.0,18.0,12.0,296.0,0.0,63241000000.0,0.6993,Non-Aligned,Asia,South-East Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Philippines.svg/25px-Flag_of_Philippines.svg.png,349.0,6.9e-06,0.00547,41,40
Kenya,58246378.0,328632000000.0,1651803025.0,21551160.0,50000.0,0.0,4175.0,50000.0,2500.0,154.0,0.0,17.0,21.0,84.0,2.0,30.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,188.0,18.0,53.0,0.0,31451000000.0,1.8588,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Kenya.svg/25px-Flag_of_Kenya.svg.png,369.0,1.71e-05,0.00503,84,83
Denmark,5973136.0,440558000000.0,14250000000.0,2628180.0,21000.0,12000.0,3475.0,88400.0,3600.0,122.0,19.0,26.0,4.0,34.0,3.0,36.0,0.0,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,6.0,44.0,19.0,0.0,8.0,611050000000.0,0.8198,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Denmark.svg/25px-Flag_of_Denmark.svg.png,216.0,8.22e-05,0.03235,45,44
Bolivia,12311974.0,122200000000.0,467670000.0,5417269.0,40000.0,40000.0,10000.0,43000.0,4500.0,67.0,0.0,0.0,15.0,29.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,58.0,0.0,11174000000.0,1.8301,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Bolivia.svg/25px-Flag_of_Bolivia.svg.png,121.0,2.23e-05,0.00383,82,81
Taiwan,23595274.0,1743000000000.0,31180000000.0,12269542.0,230000.0,1657000.0,125000.0,94000.0,107000.0,720.0,0.0,258.0,19.0,239.0,18.0,215.0,91.0,0.0,91.0,0.0,0.0,4.0,21.0,7.0,4.0,36.0,10.0,1090.0,488.0,1360.0,223.0,229900000000.0,0.3927,Non-Aligned,Asia,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Taiwan.svg/25px-Flag_of_Taiwan.svg.png,1901.0,0.0001549,0.01789,22,21
Serbia,6652212.0,177093000000.0,2770000000.0,3259584.0,22500.0,2000.0,3000.0,13200.0,0.0,115.0,17.0,11.0,3.0,51.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,96.0,150.0,73.0,21726000000.0,1.2938,Non-Aligned,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Serbia.svg/25px-Flag_of_Serbia.svg.png,357.0,0.0001095,0.01564,63,62
Colombia,49588357.0,978024000000.0,15800000000.0,24298295.0,429000.0,998000.0,25000.0,2048583.0,35100.0,430.0,24.0,16.0,82.0,255.0,27.0,72.0,0.0,1.0,213.0,0.0,0.0,0.0,9.0,2.0,4.0,158.0,0.0,0.0,6.0,110.0,0.0,108027000000.0,0.7551,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Colombia.svg/25px-Flag_of_Colombia.svg.png,643.0,2.65e-05,0.01616,43,42
Greece,10461091.0,192205000000.0,8242150000.0,4916713.0,142700.0,221350.0,42500.0,200000.0,30000.0,560.0,0.0,178.0,17.0,285.0,8.0,86.0,28.0,0.0,186.0,0.0,0.0,0.0,14.0,0.0,9.0,45.0,3.0,1344.0,589.0,698.0,152.0,605000000000.0,0.5484,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Greece.svg/25px-Flag_of_Greece.svg.png,2090.0,0.0004251,0.04288,30,29
Mauritania,4328040.0,33069000000.0,270625000.0,1687936.0,31540.0,66000.0,1105.0,102540.0,1500.0,23.0,4.0,0.0,7.0,4.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,51.0,0.0,75.0,0.0,3072000000.0,2.7919,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Mauritania.svg/25px-Flag_of_Mauritania.svg.png,80.0,4.74e-05,0.00818,123,122
Nicaragua,6676948.0,52989000000.0,1311600000.0,3271705.0,45000.0,0.0,815.0,42935.0,1250.0,17.0,0.0,0.0,5.0,12.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,186.0,0.0,347.0,151.0,6753000000.0,2.5894,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Nicaragua.svg/25px-Flag_of_Nicaragua.svg.png,226.0,6.91e-05,0.02475,116,115
Libya,7361263.0,90609000000.0,1474800000.0,3827857.0,32000.0,0.0,1000.0,85000.0,7500.0,83.0,1.0,10.0,12.0,22.0,0.0,35.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,55.0,20.0,38.0,25.0,3654200000.0,1.7872,Non-Aligned,Africa,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Libya.svg/25px-Flag_of_Libya.svg.png,143.0,3.74e-05,0.01628,80,79
Gabon,2455105.0,48045000000.0,340950000.0,932940.0,5000.0,0.0,900.0,4500.0,400.0,25.0,0.0,6.0,3.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,28.0,6442000000.0,3.0432,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Gabon.svg/25px-Flag_of_Gabon.svg.png,30.0,3.22e-05,0.0071,132,131
Guatemala,18255216.0,232673000000.0,616000000.0,7484639.0,106114.0,90000.0,2210.0,196114.0,3200.0,35.0,3.0,0.0,10.0,20.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,110.0,0.0,11862000000.0,2.1277,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Guatemala.svg/25px-Flag_of_Guatemala.svg.png,60.0,8e-06,0.00265,96,95
New Zealand,5161211.0,257117000000.0,2455949332.0,2219321.0,10050.0,3300.0,2875.0,6345.0,2873.0,47.0,0.0,0.0,7.0,21.0,6.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,31.0,0.0,230651410000.0,1.9258,Non-Aligned,Oceania,Australia & New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_New_Zealand.svg/25px-Flag_of_New_Zealand.svg.png,55.0,2.48e-05,0.00955,90,89
Lithuania,2628186.0,136227000000.0,5651760000.0,1708321.0,23000.0,104000.0,1500.0,21000.0,700.0,9.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,16.0,54.0,0.0,48400000000.0,1.8949,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Lithuania.svg/25px-Flag_of_Lithuania.svg.png,22.0,1.29e-05,0.04149,88,87
Mali,21990607.0,71253000000.0,1110000000.0,6817088.0,40000.0,0.0,550.0,44800.0,0.0,44.0,12.0,9.0,8.0,10.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,4085000000.0,2.2598,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Mali.svg/25px-Flag_of_Mali.svg.png,44.0,6.5e-06,0.01558,104,103
Italy,60964931.0,3133000000000.0,37325165000.0,27434219.0,165500.0,18300.0,43000.0,97755.0,30000.0,714.0,65.0,88.0,31.0,352.0,22.0,152.0,37.0,8.0,285.0,2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,203.0,64.0,108.0,21.0,3025000000000.0,0.2211,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Italy.svg/25px-Flag_of_Italy.svg.png,1202.0,4.38e-05,0.01191,10,9
Finland,5626414.0,313591000000.0,8890000000.0,2306830.0,24000.0,870000.0,41100.0,42000.0,6700.0,162.0,0.0,53.0,11.0,27.0,1.0,77.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,200.0,125.0,667.0,76.0,726000000000.0,0.8673,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Finland.svg/25px-Flag_of_Finland.svg.png,527.0,0.0002285,0.02835,48,47
South Africa,60442647.0,870420000000.0,2877000000.0,27803618.0,68731.0,29350.0,13815.0,53872.0,7890.0,181.0,0.0,2.0,11.0,87.0,0.0,81.0,10.0,0.0,63.0,0.0,0.0,0.0,4.0,0.0,3.0,42.0,4.0,248.0,52.0,434.0,201.0,93879000000.0,0.6843,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_South_Africa.svg/25px-Flag_of_South_Africa.svg.png,492.0,1.77e-05,0.00331,40,39
Germany,84119100.0,5247000000000.0,127400090000.0,38694786.0,184324.0,860000.0,27725.0,63000.0,15531.0,569.0,63.0,127.0,55.0,292.0,27.0,16.0,49.0,3.0,96.0,0.0,0.0,0.0,11.0,6.0,6.0,54.0,12.0,296.0,134.0,0.0,33.0,6862470230000.0,0.2463,NATO,Europe,Western Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Germany.svg/25px-Flag_of_Germany.svg.png,961.0,2.48e-05,0.02428,12,11
Liberia,5437249.0,9308000000.0,20700000.0,2392390.0,2100.0,0.0,0.0,2100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1335000000.0,3.9275,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Liberia.svg/25px-Flag_of_Liberia.svg.png,6.0,2.5e-06,0.00222,141,140
Panama,4470241.0,164484000000.0,1069750000.0,2011608.0,16300.0,0.0,500.0,80000.0,0.0,38.0,0.0,0.0,13.0,23.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1227085530000.0,3.5011,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Panama.svg/25px-Flag_of_Panama.svg.png,60.0,2.98e-05,0.0065,135,134
Czech Republic,10837890.0,521928000000.0,9174000000.0,5093808.0,30334.0,4900.0,3120.0,13000.0,0.0,103.0,16.0,12.0,10.0,42.0,2.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53.0,0.0,16.0,232320000000.0,1.0313,Non-Aligned,Other,Other Subregion,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Czech_Republic.svg/25px-Flag_of_Czech_Republic.svg.png,123.0,2.41e-05,0.01758,55,54
Sierra Leone,9121049.0,26728000000.0,450000000.0,2006631.0,13000.0,0.0,175.0,12575.0,250.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1451000000.0,3.9201,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Sierra_Leone.svg/25px-Flag_of_Sierra_Leone.svg.png,11.0,5.5e-06,0.01684,140,139
Albania,3107100.0,51360000000.0,720037190.0,1522479.0,7500.0,0.0,650.0,2335.0,1000.0,20.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,10.0,0.0,270.0,5363000000.0,1.7258,NATO,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Albania.svg/25px-Flag_of_Albania.svg.png,53.0,3.48e-05,0.01402,77,76
Uganda,49283041.0,144137000000.0,1510000000.0,16756234.0,45000.0,0.0,1200.0,43800.0,0.0,51.0,0.0,6.0,3.0,30.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,6.0,26.0,12.0,10469000000.0,2.3252,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Uganda.svg/25px-Flag_of_Uganda.svg.png,310.0,1.85e-05,0.01048,107,106
Suriname,646758.0,12316000000.0,58440000.0,142287.0,2500.0,0.0,150.0,1000.0,250.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2645000000.0,4.0538,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Suriname.svg/25px-Flag_of_Suriname.svg.png,20.0,0.0001406,0.00475,142,141
Tunisia,12048847.0,156086000000.0,2172751250.0,6024424.0,89800.0,0.0,4500.0,150000.0,5000.0,155.0,0.0,10.0,12.0,101.0,4.0,28.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,145.0,0.0,105.0,0.0,21212000000.0,1.7823,Non-Aligned,Africa,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Tunisia.svg/25px-Flag_of_Tunisia.svg.png,337.0,5.59e-05,0.01392,79,78
Thailand,69920998.0,1558000000000.0,6006660000.0,36358919.0,360850.0,200000.0,46000.0,245000.0,69850.0,496.0,26.0,73.0,52.0,258.0,25.0,134.0,7.0,0.0,304.0,0.0,1.0,0.0,7.0,5.0,0.0,254.0,5.0,744.0,59.0,595.0,17.0,37065000000.0,0.4458,Non-Aligned,Asia,South-East Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Thailand.svg/25px-Flag_of_Thailand.svg.png,1544.0,4.25e-05,0.00386,24,23
Egypt,111247248.0,1958000000000.0,5193500000.0,45611372.0,438500.0,479000.0,50000.0,685000.0,50000.0,1088.0,90.0,242.0,53.0,348.0,11.0,344.0,100.0,0.0,149.0,0.0,2.0,0.0,13.0,7.0,8.0,61.0,17.0,3620.0,1056.0,962.0,648.0,117272000000.0,0.3651,Non-Aligned,Africa,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Egypt.svg/25px-Flag_of_Egypt.svg.png,4857.0,0.0001065,0.00265,19,18
Yemen,32140443.0,18719000000.0,405187500.0,12213368.0,33350.0,0.0,3850.0,56350.0,3250.0,160.0,0.0,68.0,3.0,59.0,0.0,30.0,14.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,12.0,60.0,30.0,6492000000.0,2.1617,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Yemen.svg/25px-Flag_of_Yemen.svg.png,186.0,1.52e-05,0.02165,98,97
Syria,23865423.0,98858000000.0,145925000.0,15273871.0,100000.0,0.0,7500.0,100000.0,3250.0,104.0,5.0,52.0,2.0,39.0,0.0,8.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,168.0,60.0,0.0,0.0,4441250000.0,1.8861,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Syria.svg/25px-Flag_of_Syria.svg.png,284.0,1.86e-05,0.00148,87,86
Saudi Arabia,36544431.0,2213000000000.0,63988055520.0,19003104.0,247000.0,0.0,30000.0,75000.0,13500.0,917.0,81.0,283.0,49.0,264.0,16.0,202.0,34.0,22.0,32.0,0.0,0.0,0.0,7.0,9.0,0.0,9.0,3.0,1085.0,380.0,557.0,327.0,248171000000.0,0.4473,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Saudi_Arabia.svg/25px-Flag_of_Saudi_Arabia.svg.png,2034.0,0.000107,0.02891,25,24
Cuba,10966038.0,81165000000.0,3301500000.0,5921661.0,50000.0,40000.0,4120.0,90000.0,3550.0,20.0,0.0,11.0,4.0,13.0,0.0,3.0,4.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,194.0,140.0,364.0,200.0,36372600000.0,1.3345,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Cuba.svg/25px-Flag_of_Cuba.svg.png,233.0,3.93e-05,0.04068,65,64
Tajikistan,10394063.0,50370000000.0,450460000.0,4781269.0,150000.0,600000.0,1200.0,9000.0,0.0,25.0,0.0,0.0,1.0,20.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,13.0,24.0,3024000000.0,2.1749,Non-Aligned,Asia,Central Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Tajikistan.svg/25px-Flag_of_Tajikistan.svg.png,63.0,1.32e-05,0.00894,100,99
Singapore,6028459.0,800304000000.0,18000000000.0,3918498.0,51000.0,252500.0,13500.0,280000.0,9000.0,235.0,0.0,100.0,9.0,75.0,9.0,36.0,20.0,11.0,101.0,0.0,0.0,0.0,6.0,6.0,6.0,55.0,4.0,170.0,48.0,89.0,24.0,1884751660000.0,0.5272,Non-Aligned,Asia,South-East Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Singapore.svg/25px-Flag_of_Singapore.svg.png,506.0,0.0001291,0.02249,29,28
Honduras,9529188.0,71297000000.0,612300000.0,4192843.0,52225.0,0.0,8520.0,83000.0,4000.0,45.0,7.0,6.0,10.0,11.0,1.0,10.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,22.0,0.0,48.0,0.0,7785000000.0,2.2575,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Honduras.svg/25px-Flag_of_Honduras.svg.png,165.0,3.94e-05,0.00859,103,102
Morocco,37387585.0,350594000000.0,16100000000.0,17946041.0,400000.0,250000.0,13000.0,500000.0,9300.0,271.0,0.0,84.0,31.0,73.0,4.0,77.0,6.0,2.0,100.0,0.0,0.0,0.0,6.0,1.0,0.0,84.0,0.0,1346.0,544.0,188.0,185.0,42262000000.0,1.0368,Non-Aligned,Africa,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Morocco.svg/25px-Flag_of_Morocco.svg.png,1717.0,9.57e-05,0.04592,56,55
France,68374591.0,3732000000000.0,67232395000.0,30084820.0,264000.0,43444.0,44120.0,141600.0,47000.0,974.0,0.0,223.0,118.0,452.0,44.0,140.0,67.0,15.0,166.0,1.0,3.0,11.0,5.0,0.0,9.0,22.0,19.0,427.0,74.0,0.0,9.0,7691315390000.0,0.1798,NATO,Europe,Western Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_France.svg/25px-Flag_of_France.svg.png,1567.0,5.21e-05,0.01802,6,5
South Sudan,12703714.0,6752000000.0,30700000.0,6351857.0,185000.0,0.0,230.0,184120.0,325.0,19.0,0.0,0.0,4.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,24.0,0.0,15.0,2722500000.0,2.4645,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_South_Sudan.svg/25px-Flag_of_South_Sudan.svg.png,141.0,2.22e-05,0.00455,113,112
Kosovo,1977093.0,25019000000.0,1177450000.0,917371.0,4000.0,5000.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785739000.0,3.8041,Non-Aligned,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Kosovo.svg/25px-Flag_of_Kosovo.svg.png,0.0,0.0,0.04706,138,137
Iraq,42083436.0,585887000000.0,8000000000.0,17675043.0,193000.0,0.0,5000.0,180000.0,3000.0,360.0,36.0,26.0,15.0,183.0,17.0,111.0,39.0,0.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,1188.0,434.0,610.0,572.0,15580000000.0,0.8115,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Iraq.svg/25px-Flag_of_Iraq.svg.png,1615.0,9.14e-05,0.01365,44,43
Australia,26768598.0,1635000000000.0,57350000000.0,11242811.0,58910.0,33270.0,21584.0,44235.0,20607.0,348.0,71.0,24.0,37.0,72.0,31.0,107.0,22.0,6.0,45.0,0.0,2.0,3.0,7.0,0.0,6.0,13.0,3.0,46.0,0.0,48.0,8.0,3770254730000.0,0.3208,Non-Aligned,Oceania,Australia & New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Australia.svg/25px-Flag_of_Australia.svg.png,439.0,3.9e-05,0.03508,17,16
Portugal,10639726.0,556942000000.0,6760000000.0,5319863.0,25000.0,23500.0,6000.0,12000.0,7000.0,128.0,5.0,28.0,20.0,36.0,16.0,23.0,0.0,4.0,128.0,0.0,0.0,0.0,5.0,2.0,2.0,71.0,0.0,34.0,23.0,54.0,0.0,530000000000.0,0.6659,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Portugal.svg/25px-Flag_of_Portugal.svg.png,290.0,5.45e-05,0.01214,38,37
Ghana,34589092.0,243124000000.0,954423756.0,14873310.0,15500.0,0.0,1860.0,55000.0,1200.0,18.0,0.0,0.0,2.0,9.0,2.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,6.0,29241000000.0,2.4566,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Ghana.svg/25px-Flag_of_Ghana.svg.png,38.0,2.6e-06,0.00393,112,111
Dominican Republic,10815857.0,276884000000.0,903000000.0,4975294.0,89000.0,189000.0,6730.0,28750.0,13200.0,80.0,8.0,0.0,11.0,49.0,1.0,17.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.0,0.0,14.0,0.0,35044000000.0,2.5853,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Dominican_Republic.svg/25px-Flag_of_Dominican_Republic.svg.png,120.0,2.41e-05,0.00326,115,114
Burkina Faso,23042199.0,60001000000.0,4590000000.0,8525614.0,7500.0,0.0,300.0,7000.0,0.0,26.0,3.0,0.0,2.0,19.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,3565000000.0,2.9213,Non-Aligned,Other,Other Subregion,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Burkina_Faso.svg/25px-Flag_of_Burkina_Faso.svg.png,26.0,3e-06,0.0765,127,126
South Korea,52081799.0,2607000000000.0,44800000000.0,26040900.0,450000.0,3100000.0,65000.0,365000.0,70000.0,1540.0,98.0,242.0,40.0,827.0,35.0,335.0,113.0,4.0,215.0,0.0,2.0,14.0,18.0,3.0,22.0,96.0,14.0,1831.0,2780.0,5800.0,525.0,553871450000.0,0.1642,Non-Aligned,Asia,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_South_Korea.svg/25px-Flag_of_South_Korea.svg.png,3586.0,0.0001377,0.01718,5,4
Benin,14697052.0,56424000000.0,137690000.0,5584880.0,4750.0,0.0,300.0,4750.0,200.0,7.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,6309000000.0,3.8963,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Benin.svg/25px-Flag_of_Benin.svg.png,9.0,1.6e-06,0.00244,139,138
Georgia,4900961.0,91849000000.0,680000000.0,2744538.0,37000.0,205500.0,3000.0,205500.0,0.0,61.0,5.0,0.0,2.0,44.0,0.0,10.0,11.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,132.0,67.0,121.0,42.0,9085000000.0,2.0779,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Georgia.svg/25px-Flag_of_Georgia.svg.png,212.0,7.72e-05,0.0074,95,94
