country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index,alliance_flag,continent,region,flag_image_url,total_military_hardware,assets_per_capita,budget_gdp_ratio,rank,power_index_rank_gap
Niger,26342784.0,47921000000.0,488400000.0,7902835.0,25000.0,0.0,1250.0,10000.0,0.0,26.0,2.0,0.0,7.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3793000000.0,2.6867,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Niger.svg/25px-Flag_of_Niger.svg.png,26.0,3.3e-06,0.01019,120,119
Russia,140820810.0,6089000000000.0,212638272000.0,69002197.0,1320000.0,2000000.0,203376.0,600000.0,160000.0,4237.0,698.0,861.0,458.0,1643.0,137.0,530.0,556.0,18.0,747.0,1.0,0.0,13.0,12.0,79.0,66.0,70.0,45.0,5630.0,3603.0,5920.0,2486.0,226475750000.0,0.0791,Non-Aligned,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Russia.svg/25px-Flag_of_Russia.svg.png,10614.0,0.0001538,0.03492,2,1
Argentina,46994384.0,1213000000000.0,993919790.0,20677529.0,108000.0,12370.0,14000.0,108000.0,18370.0,241.0,11.0,23.0,25.0,96.0,13.0,71.0,0.0,2.0,42.0,0.0,0.0,3.0,0.0,6.0,2.0,13.0,0.0,362.0,20.0,172.0,27.0,74362000000.0,0.5983,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Argentina.svg/25px-Flag_of_Argentina.svg.png,645.0,3.12e-05,0.00082,32,31
Peru,32600249.0,535911000000.0,2552000000.0,15648120.0,120000.0,386000.0,12100.0,92500.0,26000.0,252.0,22.0,15.0,39.0,112.0,12.0,68.0,16.0,0.0,78.0,0.0,0.0,0.0,7.0,8.0,6.0,13.0,0.0,355.0,12.0,290.0,61.0,38102000000.0,0.8827,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Peru.svg/25px-Flag_of_Peru.svg.png,685.0,4.38e-05,0.00476,50,49
Angola,37202061.0,278239000000.0,31200000000.0,7440412.0,107000.0,0.0,6000.0,100000.0,1500.0,278.0,6.0,67.0,32.0,115.0,2.0,56.0,14.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,319.0,25.0,575.0,116.0,45299000000.0,1.1045,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Angola.svg/25px-Flag_of_Angola.svg.png,629.0,8.45e-05,0.11213,59,58
Beliz,415789.0,5538000000.0,34400000.0,158000.0,2000.0,850.0,60.0,2850.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1235000000.0,4.3602,Non-Aligned,Other,Other Subregion,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Beliz.svg/25px-Flag_of_Beliz.svg.png,18.0,0.0001139,0.00621,144,143
United Arab Emirates,10032213.0,745994000000.0,23480000000.0,5818684.0,65000.0,130000.0,7000.0,44000.0,3000.0,581.0,40.0,99.0,35.0,250.0,27.0,151.0,30.0,5.0,84.0,0.0,0.0,0.0,0.0,11.0,0.0,34.0,2.0,354.0,165.0,99.0,49.0,290400000000.0,1.0188,Non-Aligned,Other,Other Subregion,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_United_Arab_Emirates.svg/25px-Flag_of_United_Arab_Emirates.svg.png,1019.0,0.0001751,0.03147,54,53
Hungary,9855745.0,389207000000.0,5887250000.0,4632200.0,41600.0,20000.0,5750.0,32000.0,0.0,80.0,0.0,12.0,3.0,50.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,24.0,295.0,0.0,151250000000.0,1.0429,NATO,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Hungary.svg/25px-Flag_of_Hungary.svg.png,300.0,6.48e-05,0.01513,57,56
Chad,19093595.0,52895000000.0,706800000.0,6873694.0,37750.0,0.0,350.0,37750.0,0.0,40.0,7.0,0.0,7.0,16.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,13.0,16.0,2286000000.0,1.8594,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Chad.svg/25px-Flag_of_Chad.svg.png,130.0,1.89e-05,0.01336,85,84
Republic Of The Congo,6097665.0,39147000000.0,933360000.0,2256136.0,10000.0,0.0,675.0,9325.0,0.0,14.0,0.0,2.0,4.0,8.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,3.0,38.0,30.0,6360000000.0,2.6259,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Republic_Of_The_Congo.svg/25px-Flag_of_Republic_Of_The_Congo.svg.png,79.0,3.5e-05,0.02384,117,116
Lebanon,5364482.0,65415000000.0,800000000.0,2092148.0,80000.0,15000.0,2500.0,99000.0,1500.0,80.0,9.0,0.0,0.0,68.0,0.0,9.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,334.0,12.0,350.0,11.0,41619000000.0,2.6521,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Lebanon.svg/25px-Flag_of_Lebanon.svg.png,462.0,0.0002208,0.01223,118,117
Israel,9402617.0,472177000000.0,34600000000.0,3949099.0,169500.0,465000.0,89000.0,526000.0,19500.0,597.0,45.0,239.0,14.0,127.0,19.0,148.0,48.0,13.0,82.0,0.0,0.0,0.0,0.0,7.0,6.0,66.0,0.0,1300.0,323.0,171.0,228.0,163350000000.0,0.2707,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Israel.svg/25px-Flag_of_Israel.svg.png,1979.0,0.0005011,0.07328,15,14
Qatar,2552088.0,317064000000.0,11950000000.0,638022.0,26550.0,4000.0,2000.0,12500.0,2500.0,263.0,6.0,115.0,12.0,85.0,0.0,45.0,24.0,0.0,125.0,0.0,0.0,0.0,0.0,4.0,0.0,107.0,0.0,62.0,46.0,12.0,16.0,205700000000.0,1.4096,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Qatar.svg/25px-Flag_of_Qatar.svg.png,450.0,0.0007053,0.03769,71,70
Oman,3901992.0,193591000000.0,8364000000.0,1482757.0,100000.0,0.0,6145.0,100000.0,4200.0,128.0,10.0,29.0,9.0,31.0,4.0,45.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,264.0,24.0,144.0,0.0,55986700000.0,1.8823,Non-Aligned,Middle East,Western Asia (Middle East),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Oman.svg/25px-Flag_of_Oman.svg.png,409.0,0.0002758,0.0432,86,85
Austria,8967982.0,581131000000.0,6103900800.0,4035592.0,25000.0,125600.0,4300.0,141000.0,0.0,90.0,0.0,15.0,11.0,41.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,30.0,0.0,0.0,693000000000.0,1.3759,Non-Aligned,Europe,Western Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Austria.svg/25px-Flag_of_Austria.svg.png,146.0,3.62e-05,0.0105,67,66
Brazil,220051512.0,4165000000000.0,26400000000.0,112226271.0,376000.0,1340000.0,81000.0,1212217.0,80505.0,495.0,30.0,44.0,107.0,186.0,25.0,124.0,0.0,0.0,69.0,0.0,1.0,0.0,8.0,2.0,6.0,22.0,4.0,294.0,149.0,412.0,82.0,198582000000.0,0.2374,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Brazil.svg/25px-Flag_of_Brazil.svg.png,858.0,7.6e-06,0.00634,11,10
