country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,external_debt_usd
New Zealand,90,1.9258,10050,3300,300,1775457,61935,47,0,0,7,13,6,0,21,0,0,3378,0,31,0,8,121180.0,0,0,0,0,2,0,4,2455949332.0,257117000000.0,22065000000.0,230651000000.0
Slovenia,91,1.9404,7000,26000,5000,826570,22867,40,0,0,5,23,0,0,16,0,54,4636,17,18,0,3,121180.0,0,0,0,0,0,0,3,1782000000.0,103118000000.0,2832000000.0,60500000000.0
Mozambique,92,1.9769,11200,0,3000,7770772,533615,23,8,2,5,1,0,0,7,2,60,3488,0,104,12,36,121180.0,0,0,0,0,0,0,36,480000000.0,51786000000.0,3843000000.0,8274000000.0
Mongolia,93,1.9987,35000,230000,50000,1552233,62352,8,0,0,3,2,0,0,3,0,420,11040,0,500,130,0,121180.0,0,0,0,0,0,0,0,1590000000.0,59221000000.0,5508000000.0,8379000000.0
Ireland,94,2.0661,7557,1720,0,1999182,57568,23,0,0,5,8,2,0,8,0,0,3296,0,0,0,8,121180.0,0,0,0,0,0,0,8,1754400500.0,620544000000.0,12698000000.0,3630000000000.0
Georgia,95,2.0779,37000,205500,0,2225036,93118,61,0,5,2,10,0,0,44,11,132,5974,67,121,42,19,121180.0,0,0,0,0,0,0,31,680000000.0,91849000000.0,4447000000.0,9085000000.0
Guatemala,96,2.1277,106114,90000,35000,6279794,182552,35,0,3,10,0,2,0,20,0,0,3268,0,110,0,25,121180.0,0,0,0,0,0,0,20,616000000.0,232673000000.0,24412000000.0,11862000000.0
Uruguay,97,2.1537,24000,0,5000,1322177,54805,43,0,6,6,12,5,2,12,0,62,5968,16,83,4,16,121180.0,0,0,0,0,0,0,5,1903440000.0,108502000000.0,17378000000.0,54450000000.0
Yemen,98,2.1617,33350,0,20000,9031464,610668,160,68,0,3,30,0,0,59,14,0,1550,12,60,30,26,121180.0,0,0,0,0,0,1,9,405187500.0,18719000000.0,831025575.0,6492000000.0
Cameroon,99,2.1689,38000,0,9000,6224187,495458,35,0,0,6,6,2,0,21,0,0,860,18,52,20,19,121180.0,0,0,0,0,0,0,19,835694942.0,143264000000.0,4882000000.0,11112000000.0
