country,power_index,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,trainer_aircraft,special_mission_aircraft,helicopters,attack_helicopters,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare
South Africa,0.6843,"60,442,647","$870,420,000,000","$2,877,000,000","$93,879,000,000","27,803,618","68,731","29,350",181,2,81,0,87,10,248,161,52,34,434,282,63,0,0,0,4,0,3,42,4
South Korea,0.1642,"52,081,799","$2,607,000,000,000","$44,800,000,000","$553,871,450,000","26,040,900","450,000","3,100,000","1,540",242,335,35,827,113,"1,831","1,282","2,780","1,946","5,800","4,060",215,0,2,14,18,3,22,96,14
South Sudan,2.4645,"12,703,714","$6,752,000,000","$30,700,000","$2,722,500,000","6,351,857","185,000",0,19,0,0,0,15,6,122,67,24,13,0,0,,,,,,,,,
Spain,0.3247,"47,280,433","$2,361,000,000,000","$39,000,676,350","$2,830,012,130,000","21,748,999","121,802","24,033",440,136,108,8,169,17,298,209,96,67,188,132,175,1,0,0,11,0,2,112,6
Sri Lanka,1.3822,"21,982,608","$301,407,000,000","$1,500,000,000","$42,198,000,000","10,551,652","346,000","90,000",90,6,7,3,49,8,87,52,0,0,96,58,275,0,0,0,5,0,0,259,0
Sudan,1.3563,"50,467,278","$94,420,000,000","$394,700,000","$21,650,000,000","26,747,657","300,000","200,000",183,37,33,0,64,35,"1,055",580,100,55,"1,150",633,10,0,0,0,0,0,0,10,0
Suriname,4.0538,"646,758","$12,316,000,000","$58,440,000","$2,645,000,000","142,287","2,500",0,3,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0
Sweden,0.4834,"10,589,835","$668,628,000,000","$15,900,000,000","$1,102,693,570,000","4,235,934","25,600","34,000",172,73,36,3,53,0,110,83,24,18,0,0,279,0,0,0,0,7,4,116,8
Switzerland,0.8396,"8,860,574","$741,035,000,000","$8,372,658,426","$2,420,000,000,000","3,898,653","147,178",0,141,40,43,3,39,0,134,94,133,93,0,0,,,,,,,,,
Syria,1.8861,"23,865,423","$98,858,000,000","$145,925,000","$4,441,250,000","15,273,871","100,000",0,104,52,8,0,39,7,168,84,60,30,0,0,12,0,0,0,0,0,0,8,0
Taiwan,0.3927,"23,595,274","$1,743,000,000,000","$31,180,000,000","$229,900,000,000","12,269,542","230,000","1,657,000",720,258,215,18,239,91,"1,090",709,488,317,"1,360",884,91,0,0,4,21,7,4,36,10
Tajikistan,2.1749,"10,394,063","$50,370,000,000","$450,460,000","$3,024,000,000","4,781,269","150,000","600,000",25,0,4,0,20,6,38,23,3,2,13,8,,,,,,,,,
Tanzania,1.9111,"67,462,121","$246,706,000,000","$1,476,113,361","$17,513,000,000","12,143,182","25,000",0,38,11,6,0,15,0,200,100,0,0,205,103,12,0,0,0,0,0,0,10,0
Thailand,0.4458,"69,920,998","$1,558,000,000,000","$6,006,660,000","$37,065,000,000","36,358,919","360,850","200,000",496,73,134,25,258,7,744,484,59,38,595,387,304,0,1,0,7,5,0,254,5
Tunisia,1.7823,"12,048,847","$156,086,000,000","$2,172,751,250","$21,212,000,000","6,024,424","89,800",0,155,10,28,4,101,0,145,87,0,0,105,63,37,0,0,0,1,1,0,30,0
