country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,labour_force,external_debt_usd,total_population,oil_production_bbl,proven_oil_reserves_bbl,natural_gas_production_cum
Mali,104,PwrIndx: 2.2598,"40,000",0,"4,800","42,88,168","3,51,850",44,9,12,8,4,1,0,10,8,0,"3,717",0,50,30,0,N/A,0,0,0,0,0,0,0,"$                        							1,110,000,000","$                        							71,253,000,000","$                        							647,800,000","91,26,000","$                        							4,085,000,000","2,19,90,607","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Zimbabwe,105,PwrIndx: 2.2801,"29,000",0,"21,800","37,21,626","3,60,157",80,9,9,14,20,0,0,28,6,60,"1,248",0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							1,976,800,000","$                        							57,391,000,000","$                        							484,973,000","63,86,000","$                        							6,671,000,000","1,71,50,352","800                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Estonia,106,PwrIndx: 2.3201,"7,700","2,30,000","10,000","4,56,028","13,132",2,0,0,2,0,0,0,0,0,0,"2,579",48,0,6,8,N/A,0,0,0,0,0,0,4,"$                        							2,375,000,000","$                        							57,001,000,000","$                        							2,075,000,000","7,56,200","$                        							29,040,000,000","11,93,791","24,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Uganda,107,PwrIndx: 2.3252,"45,000",0,"10,000","99,05,891","9,85,661",51,6,0,3,12,0,0,30,6,259,"9,702",6,26,12,0,N/A,0,0,0,0,0,0,0,"$                        							1,510,000,000","$                        							144,137,000,000","$                        							3,432,750,000","2,28,29,000","$                        							10,469,000,000","4,92,83,041","0                        						
							bbl","2,500,000,000                        						
							bbl","0                        						
							Cu.M"
Ivory Coast,108,PwrIndx: 2.3884,"22,000",0,"5,500","78,55,221","5,69,653",22,0,0,3,2,3,0,14,5,0,"1,328",0,4,6,8,N/A,0,0,0,0,0,0,7,"$                        							18,200,000","$                        							215,018,000,000","$                        							7,583,484,000","1,25,95,000","$                        							26,576,000,000","2,99,81,758","29,000                        						
							bbl","100,000,000                        						
							bbl","2,635,000,000                        						
							Cu.M"
Kyrgyzstan,109,PwrIndx: 2.3969,"23,000",0,"55,000","24,87,357","1,17,270",7,0,0,0,0,0,0,7,2,215,"5,372",30,174,21,0,N/A,0,0,0,0,0,0,0,"$                        							654,000,000","$                        							50,907,000,000","$                        							5,089,000,000","31,97,000","$                        							3,617,000,000","61,72,101","6,000                        						
							bbl","40,000,000                        						
							bbl","31,026,000                        						
							Cu.M"
Luxembourg,110,PwrIndx: 2.4429,"1,200",0,0,"92,633","3,356",1,0,0,1,0,0,0,0,0,0,476,0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							1,530,685,000","$                        							86,871,000,000","$                        							2,789,000,000","3,50,000","$                        							5,203,000,000,000","6,71,254","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Zambia,111,PwrIndx: 2.4461,"15,150",0,"1,200","41,39,024","3,74,384",78,0,0,13,34,0,0,33,0,75,848,12,60,50,0,N/A,0,0,0,0,0,0,0,"$                        							385,321,000","$                        							79,207,000,000","$                        							3,017,000,000","74,07,000","$                        							16,597,000,000","2,07,99,116","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Ghana,112,PwrIndx: 2.4566,"15,500",0,0,"99,61,658","6,22,604",18,0,0,2,5,2,0,9,0,0,"3,648",0,6,6,20,N/A,0,0,0,0,0,0,20,"$                        							954,423,756","$                        							243,124,000,000","$                        							3,624,000,000","1,39,27,000","$                        							29,241,000,000","3,45,89,092","176,000                        						
							bbl","660,000,000                        						
							bbl","3,192,000,000                        						
							Cu.M"
South Sudan,113,PwrIndx: 2.4645,"1,85,000",0,0,"40,65,188","3,30,297",19,0,0,4,0,0,0,15,6,122,"2,550",24,0,15,0,N/A,0,0,0,0,0,0,0,"$                        							30,700,000","$                        							6,752,000,000","$                        							128,248,000","50,91,000","$                        							2,722,500,000","1,27,03,714","146,000                        						
							bbl","3,750,000,000                        						
							bbl","0                        						
							Cu.M"
North Macedonia,114,PwrIndx: 2.4956,"10,010","60,000","3,500","7,83,773","27,763",20,0,0,0,10,0,0,10,4,0,"1,878",0,156,18,0,N/A,0,0,0,0,0,0,0,"$                        							421,527,100","$                        							43,844,000,000","$                        							5,252,000,000","7,79,200","$                        							5,637,000,000","21,35,622","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Dominican Republic,115,PwrIndx: 2.5853,"89,000","1,89,000","30,000","40,34,315","97,343",80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,N/A,0,0,0,0,0,0,14,"$                        							903,000,000","$                        							276,884,000,000","$                        							13,471,000,000","54,13,000","$                        							35,044,000,000","1,08,15,857","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Nicaragua,116,PwrIndx: 2.5894,"45,000",0,"5,500","27,77,610","1,46,893",17,0,0,5,1,0,0,12,0,186,"6,344",0,347,151,23,N/A,0,0,0,0,0,0,23,"$                        							1,311,600,000","$                        							52,989,000,000","$                        							6,105,000,000","32,25,000","$                        							6,753,000,000","66,76,948","200                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Republic of the Congo,117,PwrIndx: 2.6259,"10,000",0,"2,500","13,53,682","1,15,856",14,2,0,4,0,0,0,8,1,61,804,3,38,30,4,N/A,0,0,0,0,0,0,0,"$                        							933,360,000","$                        							39,147,000,000","$                        							715,391,000","25,63,000","$                        							6,360,000,000","60,97,665","267,000                        						
							bbl","2,885,000,000                        						
							bbl","423,000,000                        						
							Cu.M"
Lebanon,118,PwrIndx: 2.6521,"80,000","15,000","65,000","17,75,644","69,738",80,0,9,0,9,0,0,68,0,334,"6,912",12,350,11,48,N/A,0,0,0,0,0,0,42,"$                        							800,000,000","$                        							65,415,000,000","$                        							33,301,000,000","19,39,000","$                        							41,619,000,000","53,64,482","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Eritrea,119,PwrIndx: 2.6841,"3,50,000","6,80,000",0,"15,98,677","76,127",20,1,0,5,1,0,0,13,6,148,"1,040",45,89,44,23,N/A,0,0,0,0,0,0,18,"$                        							219,000,000","$                        							2,534,000,000","$                        							191,694,000","17,10,000","$                        							461,376,000","63,43,956","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Niger,120,PwrIndx: 2.6867,"25,000",0,"5,000","52,94,900","4,47,827",26,0,2,7,0,2,0,13,2,0,"1,550",0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							488,400,000","$                        							47,921,000,000","$                        							1,442,772,000","1,04,86,000","$                        							3,793,000,000","2,63,42,784","13,000                        						
							bbl","150,000,000                        						
							bbl","29,509,000                        						
							Cu.M"
Afghanistan,121,PwrIndx: 2.7342,"75,000",0,"90,000","88,26,741","8,42,553",5,0,0,2,0,0,0,3,0,0,"3,902",0,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							145,000,000","$                        							82,238,000,000","$                        							8,852,092,000","91,33,000","$                        							1,929,750,000","4,01,21,552","0                        						
							bbl","0                        						
							bbl","80,200,000                        						
							Cu.M"
Namibia,122,PwrIndx: 2.7414,"17,567",0,"5,000","4,00,923","30,840",36,11,0,5,13,0,0,7,2,7,"2,402",0,50,55,15,N/A,0,0,0,0,0,2,15,"$                        							450,498,000","$                        							31,154,000,000","$                        							3,356,000,000","11,31,000","$                        							9,680,000,000","28,03,660","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Mauritania,123,PwrIndx: 2.7919,"31,540","66,000","5,000","11,81,555","82,233",23,0,4,7,6,2,0,4,0,51,"5,024",0,75,0,6,N/A,0,0,0,0,0,0,6,"$                        							270,625,000","$                        							33,069,000,000","$                        							2,039,000,000","12,10,000","$                        							3,072,000,000","43,28,040","0                        						
							bbl","20,000,000                        						
							bbl","0                        						
							Cu.M"
Nepal,124,PwrIndx: 2.8037,"98,500","82,000","15,000","1,17,33,140","7,78,060",17,0,0,7,0,0,0,10,0,0,"1,108",0,14,0,0,N/A,0,0,0,0,0,0,0,"$                        							431,355,326","$                        							149,643,000,000","$                        							12,456,000,000","84,35,000","$                        							5,719,000,000","3,11,22,387","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Laos,125,PwrIndx: 2.8672,"1,00,000","30,000","1,20,000","25,21,277","1,59,071",29,0,0,2,7,0,0,20,0,160,"7,725",50,97,64,51,N/A,0,0,0,0,0,0,47,"$                        							355,600,000","$                        							66,905,000,000","$                        							1,770,000,000","35,85,000","$                        							9,619,000,000","79,53,556","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Senegal,126,PwrIndx: 2.8925,"17,000",0,0,"40,89,912","3,95,798",39,0,0,5,22,1,0,19,5,0,"1,860",0,20,6,4,N/A,0,0,0,0,0,0,4,"$                        							777,800,000","$                        							83,183,000,000","$                        							889,295,000","57,63,000","$                        							14,985,000,000","1,88,47,519","9,000                        						
							bbl","0                        						
							bbl","54,646,000                        						
							Cu.M"
Burkina Faso,127,PwrIndx: 2.9213,"7,500",0,"4,500","60,60,098","3,68,675",26,0,3,2,0,2,0,19,5,0,876,0,8,9,0,N/A,0,0,0,0,0,0,0,"$                        							4,590,000,000","$                        							60,001,000,000","$                        							47,138,000","64,61,000","$                        							3,565,000,000","2,30,42,199","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Montenegro,128,PwrIndx: 2.9782,"2,350",0,"5,500","85,179","3,599",10,0,0,0,0,0,0,10,0,0,946,0,12,12,20,N/A,0,0,0,0,0,0,14,"$                        							204,000,000","$                        							17,375,000,000","$                        							1,741,000,000","2,45,300","$                        							3,643,000,000","5,99,849","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
El Salvador,129,PwrIndx: 2.9973,"25,000",0,"15,000","25,12,278","1,45,831",51,0,15,3,10,0,0,28,0,0,"2,144",0,76,0,13,N/A,0,0,0,0,0,0,8,"$                        							1,037,200,000","$                        							73,961,000,000","$                        							3,705,000,000","28,90,000","$                        							12,668,000,000","66,28,702","3                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Botswana,130,PwrIndx: 2.9993,"12,000",0,0,"6,17,568","24,507",45,10,0,9,10,0,0,16,0,45,"1,224",12,36,20,0,N/A,0,0,0,0,0,0,0,"$                        							581,000,000","$                        							45,553,000,000","$                        							3,456,000,000","11,73,000","$                        							1,761,000,000","24,50,668","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Madagascar,131,PwrIndx: 3.0381,"13,500",0,"8,100","79,52,233","5,59,602",6,0,0,1,0,0,0,5,0,12,316,0,17,0,7,N/A,0,0,0,0,0,0,5,"$                        							147,630,000","$                        							52,968,000,000","$                        							2,785,000,000","1,65,19,000","$                        							3,548,000,000","2,94,52,714","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
