country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,labour_force,external_debt_usd,total_population,oil_production_bbl,proven_oil_reserves_bbl,natural_gas_production_cum
United States,1,PwrIndx: 0.0741,"13,33,030","7,99,500",0,"12,48,16,644","44,45,524","13,032","1,791",926,917,"2,610",611,610,"5,913","1,024","4,666","4,09,660","1,521","1,878","1,731",465,"82,65,799",11,9,66,83,0,27,0,"$                        							831,500,000,000","$                        							25,676,000,000,000","$                        							910,037,000,000","17,41,74,000","$                        							24,538,900,710,000","34,19,63,408","20,953,000                        						
							bbl","38,212,000,000                        						
							bbl","1,029,000,000,000                        						
							Cu.M"
Russia,2,PwrIndx: 0.0791,"13,20,000","20,00,000","2,50,000","4,61,89,226","12,67,387","4,237",861,698,458,530,137,18,"1,643",556,"5,630","1,26,512","3,603","5,920","2,486",747,"14,26,539",1,0,66,13,12,79,70,"$                        							212,638,272,000","$                        							6,089,000,000,000","$                        							597,217,000,000","7,25,17,000","$                        							226,475,750,000","14,08,20,810","10,879,000                        						
							bbl","80,000,000,000                        						
							bbl","617,830,000,000                        						
							Cu.M"
China,3,PwrIndx: 0.0919,"20,35,000","5,10,000","6,25,000","62,68,64,169","1,98,10,606","3,529","1,443",371,287,401,105,9,"1,007",281,"5,870","1,52,040","2,940","1,400","2,770",841,"31,92,411",3,4,61,53,46,50,150,"$                        							303,000,000,000","$                        							33,598,000,000,000","$                        							3,456,000,000,000","77,38,80,000","$                        							488,114,000,000","1,41,50,43,270","4,984,000                        						
							bbl","26,023,000,000                        						
							bbl","225,341,000,000                        						
							Cu.M"
India,4,PwrIndx: 0.1346,"14,31,000","10,00,000","25,27,000","52,27,86,598","2,39,55,181","2,183",476,124,277,334,72,6,594,79,"3,913","1,63,554",100,"5,640",300,343,"6,31,989",2,0,18,13,18,21,146,"$                        							109,000,000,000","$                        							14,244,000,000,000","$                        							643,043,000,000","60,76,91,000","$                        							212,728,000,000","1,40,91,28,296","822,000                        						
							bbl","4,605,000,000                        						
							bbl","33,170,000,000                        						
							Cu.M"
South Korea,5,PwrIndx: 0.1642,"4,50,000","31,00,000","1,20,000","2,13,53,538","4,16,654","1,540",242,98,40,335,35,4,827,113,"1,831","1,17,460","2,780","5,800",525,215,"4,27,946",0,2,22,14,18,3,96,"$                        							44,800,000,000","$                        							2,607,000,000,000","$                        							418,219,000,000","2,97,13,000","$                        							553,871,450,000","5,20,81,799","38,000                        						
							bbl","0                        						
							bbl","55,127,000                        						
							Cu.M"
France,6,PwrIndx: 0.1798,"2,64,000","43,444","1,50,000","2,37,94,358","7,52,121",974,223,0,118,140,44,15,452,67,427,"1,10,784",74,0,9,166,"4,87,471",1,3,9,11,5,0,22,"$                        							67,232,395,000","$                        							3,732,000,000,000","$                        							282,857,000,000","3,17,25,000","$                        							7,691,315,390,000","6,83,74,591","80,000                        						
							bbl","61,719,000                        						
							bbl","20,132,000                        						
							Cu.M"
Japan,7,PwrIndx: 0.1876,"2,51,500","56,000","25,000","4,28,74,277","11,08,818","1,429",217,47,53,399,135,10,583,118,734,"54,390",193,480,99,158,"7,98,062",0,4,23,41,8,0,6,"$                        							58,000,000,000","$                        							5,715,000,000,000","$                        							1,231,000,000,000","6,93,82,000","$                        							5,147,667,910,000","12,32,01,945","8,000                        						
							bbl","44,115,000                        						
							bbl","2,220,000,000                        						
							Cu.M"
United Kingdom,8,PwrIndx: 0.1881,"1,41,330","31,940",0,"2,51,92,932","7,53,050",625,103,38,30,201,29,9,262,50,288,"94,064",14,126,43,116,"4,06,308",2,0,10,6,7,0,26,"$                        							88,526,529,585","$                        							3,636,000,000,000","$                        							174,598,000,000","3,53,59,000","$                        							10,553,123,900,000","6,84,59,055","753,000                        						
							bbl","2,500,000,000                        						
							bbl","37,758,000,000                        						
							Cu.M"
Turkiye,9,PwrIndx: 0.1975,"4,81,000","3,80,000","1,50,000","3,60,87,279","14,30,032","1,101",201,0,84,301,27,7,509,111,"2,284","98,193","1,045",635,237,192,"3,49,739",0,1,14,0,17,9,40,"$                        							51,400,000,000","$                        							3,018,000,000,000","$                        							154,744,000,000","3,60,81,000","$                        							149,654,000,000","8,41,19,531","83,000                        						
							bbl","366,000,000                        						
							bbl","379,701,000                        						
							Cu.M"
Italy,10,PwrIndx: 0.2211,"1,65,500","18,300","1,05,000","2,21,91,235","5,48,684",714,88,65,31,152,22,8,352,37,203,"87,364",64,108,21,285,"3,87,892",2,0,8,3,14,0,15,"$                        							37,325,165,000","$                        							3,133,000,000,000","$                        							290,547,000,000","2,58,28,000","$                        							3,025,000,000,000","6,09,64,931","111,000                        						
							bbl","497,934,000                        						
							bbl","3,117,000,000                        						
							Cu.M"
Brazil,11,PwrIndx: 0.2374,"3,76,000","13,40,000","2,00,000","8,86,80,759","35,20,824",495,44,30,107,124,25,0,186,0,294,"22,464",149,412,82,69,"1,66,419",0,1,6,0,8,2,22,"$                        							26,400,000,000","$                        							4,165,000,000,000","$                        							329,732,000,000","10,67,90,000","$                        							198,582,000,000","22,00,51,512","4,221,000                        						
							bbl","12,715,000,000                        						
							bbl","22,670,000,000                        						
							Cu.M"
Germany,12,PwrIndx: 0.2463,"1,84,324","8,60,000",0,"3,09,55,829","8,41,191",569,127,63,55,16,27,3,292,49,296,"87,338",134,0,33,96,"2,41,492",0,0,6,0,11,6,54,"$                        							127,400,090,000","$                        							5,247,000,000,000","$                        							377,936,000,000","4,37,72,000","$                        							6,862,470,230,000","8,41,19,100","131,000                        						
							bbl","115,200,000                        						
							bbl","4,824,000,000                        						
							Cu.M"
Indonesia,13,PwrIndx: 0.2582,"4,04,500","4,01,000","2,50,000","11,45,95,923","47,86,562",460,41,34,73,114,15,1,212,15,331,"28,064",153,396,67,338,"3,24,754",0,0,4,0,10,26,211,"$                        							11,155,297,716","$                        							4,102,000,000,000","$                        							155,708,000,000","14,31,44,000","$                        							225,273,000,000","28,15,62,465","865,000                        						
							bbl","2,480,000,000                        						
							bbl","57,410,000,000                        						
							Cu.M"
Pakistan,14,PwrIndx: 0.2626,"6,60,000","5,50,000","5,00,000","8,58,03,614","47,94,908","1,397",331,90,63,563,27,4,379,55,"2,677","59,044",662,"2,629",652,120,"1,15,187",0,0,8,0,9,6,79,"$                        							9,102,115,350","$                        							1,390,000,000,000","$                        							18,408,000,000","8,36,44,000","$                        							89,148,000,000","25,23,63,571","91,000                        						
							bbl","540,000,000                        						
							bbl","36,937,000,000                        						
							Cu.M"
Israel,15,PwrIndx: 0.2707,"1,69,500","4,65,000","35,000","32,81,513","1,31,637",597,239,45,14,148,19,13,127,48,"1,300","62,380",323,171,228,82,"40,638",0,0,6,0,0,7,66,"$                        							34,600,000,000","$                        							472,177,000,000","$                        							214,544,000,000","47,10,000","$                        							163,350,000,000","94,02,617","15,000                        						
							bbl","12,730,000                        						
							bbl","22,886,000,000                        						
							Cu.M"
Iran,16,PwrIndx: 0.3199,"6,10,000","3,50,000","2,20,000","4,15,41,860","14,14,191",551,188,21,86,103,10,6,129,13,"2,675","75,939",424,"1,803","1,550",109,"2,83,516",0,0,25,0,7,3,21,"$                        							9,230,000,000","$                        							1,486,000,000,000","$                        							120,600,000,000","2,85,75,000","$                        							6,759,000,000","8,83,86,937","4,112,000                        						
							bbl","208,600,000,000                        						
							bbl","263,280,000,000                        						
							Cu.M"
Australia,17,PwrIndx: 0.3208,"58,910","33,270",0,"92,08,398","2,94,455",348,24,71,37,107,31,6,72,22,46,"17,118",0,48,8,45,"1,99,898",0,2,6,3,7,0,13,"$                        							57,350,000,000","$                        							1,635,000,000,000","$                        							60,404,000,000","1,49,12,000","$                        							3,770,254,730,000","2,67,68,598","386,000                        						
							bbl","2,446,000,000                        						
							bbl","153,783,000,000                        						
							Cu.M"
Spain,18,PwrIndx: 0.3247,"1,21,802","24,033","78,470","1,76,35,602","3,30,963",440,136,12,51,108,8,0,169,17,298,"49,324",96,188,0,175,"2,49,889",1,0,2,0,11,0,112,"$                        							39,000,676,350","$                        							2,361,000,000,000","$                        							107,774,000,000","2,43,86,000","$                        							2,830,012,130,000","4,72,80,433","47,000                        						
							bbl","150,000,000                        						
							bbl","41,009,000                        						
							Cu.M"
Egypt,19,PwrIndx: 0.3651,"4,38,500","4,79,000","3,00,000","3,82,69,053","16,68,709","1,088",242,90,53,344,11,0,348,100,"3,620","54,694","1,056",962,648,149,"2,35,989",0,2,8,0,13,7,61,"$                        							5,193,500,000","$                        							1,958,000,000,000","$                        							44,921,000,000","3,37,49,000","$                        							117,272,000,000","11,12,47,248","667,000                        						
							bbl","3,300,000,000                        						
							bbl","64,817,000,000                        						
							Cu.M"
Ukraine,20,PwrIndx: 0.3691,"9,00,000","40,00,000","1,00,000","1,27,31,272","3,92,280",347,88,30,22,72,5,0,140,39,"1,121","45,458",682,625,288,169,"22,266",0,0,0,0,0,0,133,"$                        							45,000,000,000","$                        							577,583,000,000","$                        							43,781,000,000","2,05,39,000","$                        							90,003,000,000","3,56,61,826","3,000                        						
							bbl","395,000,000                        						
							bbl","18,725,000,000                        						
							Cu.M"
Poland,21,PwrIndx: 0.3891,"2,50,000","3,50,000","50,000","1,55,76,017","4,64,956",457,58,12,44,112,11,0,224,29,798,"57,972",593,0,298,63,"55,530",0,0,1,0,2,2,3,"$                        							55,865,141,600","$                        							1,649,000,000,000","$                        							223,115,000,000","1,82,45,000","$                        							425,641,700,000","3,87,46,310","24,000                        						
							bbl","113,000,000                        						
							bbl","5,551,000,000                        						
							Cu.M"
Taiwan,22,PwrIndx: 0.3927,"2,30,000","16,57,000","55,000","10,61,787","3,06,739",720,258,0,19,215,18,0,239,91,"1,090","24,067",488,"1,360",223,91,"2,44,050",0,0,4,4,21,7,36,"$                        							31,180,000,000","$                        							1,743,000,000,000","$                        							541,898,500,000","1,18,42,940","$                        							229,900,000,000","2,35,95,274","800                        						
							bbl","2,380,000                        						
							bbl","63,747,000                        						
							Cu.M"
Vietnam,23,PwrIndx: 0.4066,"4,50,000","50,00,000","2,50,000","4,50,53,323","17,97,903",265,61,0,6,91,3,0,101,0,"1,999","69,914",30,"3,250",774,116,"1,02,147",0,0,6,0,9,17,27,"$                        							10,200,000,000","$                        							1,456,000,000,000","$                        							83,082,000,000","5,71,33,000","$                        							34,426,000,000","10,57,58,975","187,000                        						
							bbl","4,400,000,000                        						
							bbl","7,676,000,000                        						
							Cu.M"
Thailand,24,PwrIndx: 0.4458,"3,60,850","2,00,000","25,000","2,79,68,399","11,18,736",496,73,26,52,134,25,0,258,7,744,"52,590",59,595,17,304,"1,33,523",0,1,0,0,7,5,254,"$                        							6,006,660,000","$                        							1,558,000,000,000","$                        							236,934,000,000","4,06,23,000","$                        							37,065,000,000","6,99,20,998","386,000                        						
							bbl","252,750,000                        						
							bbl","30,797,000,000                        						
							Cu.M"
Saudi Arabia,25,PwrIndx: 0.4473,"2,47,000",0,"1,50,000","1,74,68,238","6,21,255",917,283,81,49,202,16,22,264,34,"1,085","22,370",380,557,327,32,"49,727",0,0,0,0,7,9,9,"$                        							63,988,055,520","$                        							2,213,000,000,000","$                        							463,870,000,000","1,71,68,000","$                        							248,171,000,000","3,65,44,431","11,174,000                        						
							bbl","258,600,000,000                        						
							bbl","121,870,000,000                        						
							Cu.M"
Sweden,26,PwrIndx: 0.4834,"25,600","34,000","1,04,400","35,58,185","1,05,898",172,73,0,6,36,3,1,53,0,110,"27,576",24,0,0,279,"39,816",0,0,4,0,0,7,116,"$                        							15,900,000,000","$                        							668,628,000,000","$                        							62,569,000,000","56,99,000","$                        							1,102,693,570,000","1,05,89,835","11,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Algeria,27,PwrIndx: 0.4849,"1,30,000","1,50,000","1,50,000","1,91,85,169","7,52,360",620,111,42,63,90,10,4,300,74,"1,485","24,920",224,483,188,111,"83,480",0,0,6,0,8,8,75,"$                        							25,000,000,000","$                        							722,912,000,000","$                        							83,007,000,000","1,32,94,000","$                        							4,764,000,000","4,70,22,473","1,443,000                        						
							bbl","12,200,000,000                        						
							bbl","100,726,000,000                        						
							Cu.M"
Canada,28,PwrIndx: 0.5269,"63,500","23,000","5,500","1,35,00,595","4,26,743",354,66,0,29,95,34,6,146,0,74,"21,780",0,0,0,67,"1,19,637",0,0,4,0,12,0,17,"$                        							45,824,959,620","$                        							2,341,000,000,000","$                        							119,778,000,000","2,28,68,000","$                        							2,571,113,270,000","3,87,94,813","5,688,000                        						
							bbl","170,300,000,000                        						
							bbl","187,686,000,000                        						
							Cu.M"
Singapore,29,PwrIndx: 0.5272,"51,000","2,52,500","12,000","26,28,408","66,313",235,100,0,9,36,9,11,75,20,170,"17,244",48,89,24,101,"93,244",0,0,6,0,6,6,55,"$                        							18,000,000,000","$                        							800,304,000,000","$                        							383,946,000,000","37,22,000","$                        							1,884,751,660,000","60,28,459","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Greece,30,PwrIndx: 0.5484,"1,42,700","2,21,350","55,000","39,85,676","1,04,611",560,178,0,17,86,8,0,285,28,"1,344","56,416",589,698,152,186,"2,15,808",0,0,9,0,14,0,45,"$                        							8,242,150,000","$                        							192,205,000,000","$                        							15,222,000,000","46,55,000","$                        							605,000,000,000","1,04,61,091","5,000                        						
							bbl","10,000,000                        						
							bbl","3,284,000                        						
							Cu.M"
North Korea,31,PwrIndx: 0.5933,"13,20,000","5,60,000","1,00,000","53,12,331","4,20,779",837,341,114,1,176,0,0,205,20,"4,895","47,792","1,300",700,"1,500",332,"1,43,304",0,0,24,2,2,8,227,"$                        							4,750,000,000","$                        							15,416,000,000","$                        							5,500,000,000","1,76,37,000","$                        							6,050,000,000","2,62,98,666","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Argentina,32,PwrIndx: 0.5983,"1,08,000","12,370","20,000","1,75,75,900","7,04,916",241,23,11,25,71,13,2,96,0,362,"22,432",20,172,27,42,"1,22,128",0,0,2,3,0,6,13,"$                        							993,919,790","$                        							1,213,000,000,000","$                        							29,560,000,000","2,22,86,000","$                        							74,362,000,000","4,69,94,384","807,000                        						
							bbl","2,483,000,000                        						
							bbl","43,280,000,000                        						
							Cu.M"
Nigeria,33,PwrIndx: 0.6097,"2,30,000",0,"50,000","9,04,37,404","42,61,448",159,14,24,12,28,12,0,69,15,330,"12,219",40,339,37,152,"38,052",0,0,0,0,1,0,132,"$                        							3,900,000,000","$                        							1,318,000,000,000","$                        							38,612,000,000","11,33,50,000","$                        							45,009,000,000","23,67,47,130","1,541,000                        						
							bbl","36,890,000,000                        						
							bbl","39,951,000,000                        						
							Cu.M"
Netherlands,34,PwrIndx: 0.6142,"44,245","8,510","5,000","64,86,918","1,95,496",130,0,38,4,21,0,0,67,16,18,"6,689",46,0,4,140,"1,47,606",0,0,3,0,6,0,76,"$                        							31,791,150,000","$                        							1,276,000,000,000","$                        							79,129,000,000","1,03,15,000","$                        							5,257,949,730,000","1,77,72,378","70,000                        						
							bbl","137,747,000                        						
							bbl","17,774,000,000                        						
							Cu.M"
Myanmar,35,PwrIndx: 0.6265,"2,28,000","19,000","55,000","2,19,75,367","10,35,489",331,70,20,33,120,5,0,86,9,"1,040","11,576",225,"1,680","1,520",239,"89,240",0,0,3,0,6,3,146,"$                        							2,815,031,361","$                        							287,559,000,000","$                        							8,590,400,000","2,27,42,000","$                        							8,748,000,000","5,75,27,139","7,000                        						
							bbl","139,000,000                        						
							bbl","16,780,000,000                        						
							Cu.M"
Mexico,36,PwrIndx: 0.6401,"3,87,000","98,653","1,20,000","4,98,11,912","22,22,579",424,2,32,40,175,25,0,173,0,0,"23,548",35,0,0,164,N/A,0,0,0,0,1,3,142,"$                        							9,100,000,000","$                        							2,883,000,000,000","$                        							232,035,000,000","6,09,59,000","$                        							306,308,000,000","13,07,39,927","2,101,000                        						
							bbl","5,786,000,000                        						
							bbl","31,422,000,000                        						
							Cu.M"
Bangladesh,37,PwrIndx: 0.6517,"2,04,000",0,"68,00,000","6,61,29,296","32,05,246",212,41,0,17,83,4,0,67,0,320,"11,584",36,487,103,121,"75,280",0,0,2,0,7,6,61,"$                        							3,340,000,000","$                        							1,473,000,000,000","$                        							21,395,000,000","7,73,55,000","$                        							58,020,000,000","16,86,97,184","13,000                        						
							bbl","28,000,000                        						
							bbl","24,620,000,000                        						
							Cu.M"
Portugal,38,PwrIndx: 0.6659,"25,000","23,500","23,300","40,96,295","1,27,677",128,28,5,20,23,16,4,36,0,34,"10,419",23,54,0,128,"42,755",0,0,2,0,5,2,71,"$                        							6,760,000,000","$                        							556,942,000,000","$                        							55,160,000,000","53,32,100","$                        							530,000,000,000","1,06,39,726","12,932                        						
							bbl","22,440,000                        						
							bbl","0                        						
							Cu.M"
Norway,39,PwrIndx: 0.6679,"33,440","20,100","40,500","18,07,192","71,627",109,0,43,4,23,5,0,34,0,36,"11,441",28,0,0,48,"66,022",0,0,6,0,4,6,20,"$                        							11,189,483,200","$                        							507,680,000,000","$                        							81,242,000,000","30,42,000","$                        							787,758,400,000","55,09,733","2,020,000                        						
							bbl","8,122,200,000                        						
							bbl","123,727,000,000                        						
							Cu.M"
South Africa,40,PwrIndx: 0.6843,"68,731","29,350","50,000","1,49,89,776","10,27,525",181,2,0,11,81,0,0,87,10,248,"23,024",52,434,201,63,"43,881",0,0,3,0,4,0,42,"$                        							2,877,000,000","$                        							870,420,000,000","$                        							65,435,000,000","2,77,66,000","$                        							93,879,000,000","6,04,42,647","88,000                        						
							bbl","15,000,000                        						
							bbl","59,128,000                        						
							Cu.M"
Philippines,41,PwrIndx: 0.6993,"1,60,000","15,00,000","35,000","4,17,51,803","21,28,987",204,0,17,23,23,11,0,130,6,18,"20,551",12,296,0,127,"84,578",0,0,0,0,4,1,60,"$                        							6,571,641,011","$                        							1,202,000,000,000","$                        							106,195,000,000","5,09,79,000","$                        							63,241,000,000","11,82,77,063","10,000                        						
							bbl","138,500,000                        						
							bbl","2,251,000,000                        						
							Cu.M"
Malaysia,42,PwrIndx: 0.7379,"1,13,000","51,600","1,00,000","1,34,80,276","5,53,037",132,25,11,15,31,6,4,45,0,48,"15,415",0,196,36,100,"67,735",0,0,2,0,2,4,72,"$                        							5,100,000,000","$                        							1,212,000,000,000","$                        							116,229,000,000","1,82,64,000","$                        							8,748,000,000","3,45,64,810","582,000                        						
							bbl","3,600,000,000                        						
							bbl","75,456,000,000                        						
							Cu.M"
Colombia,43,PwrIndx: 0.7551,"4,29,000","9,98,000","1,50,000","1,91,90,694","8,43,002",430,16,24,82,72,27,1,255,0,0,"12,780",6,110,0,213,"31,090",0,0,4,0,9,2,158,"$                        							15,800,000,000","$                        							978,024,000,000","$                        							61,898,000,000","2,68,22,000","$                        							108,027,000,000","4,95,88,357","800,000                        						
							bbl","2,036,000,000                        						
							bbl","11,290,000,000                        						
							Cu.M"
Iraq,44,PwrIndx: 0.8115,"1,93,000",0,"1,00,000","1,43,08,368","7,15,418",360,26,36,15,111,17,0,183,39,"1,188","37,496",434,610,572,67,"32,565",0,0,0,0,0,1,55,"$                        							8,000,000,000","$                        							585,887,000,000","$                        							100,691,000,000","1,20,08,000","$                        							15,580,000,000","4,20,83,436","4,448,000                        						
							bbl","145,019,000,000                        						
							bbl","9,860,000,000                        						
							Cu.M"
Denmark,45,PwrIndx: 0.8198,"21,000","12,000","51,000","21,26,436","77,651",122,26,19,4,36,3,0,34,0,44,"5,930",19,0,8,50,"1,21,180",0,0,0,0,9,0,9,"$                        							14,250,000,000","$                        							440,558,000,000","$                        							108,405,000,000","32,10,000","$                        							611,050,000,000","59,73,136","63,000                        						
							bbl","441,000,000                        						
							bbl","1,879,000,000                        						
							Cu.M"
Switzerland,46,PwrIndx: 0.8396,"1,47,178",0,"5,000","31,63,225","97,466",141,40,0,16,43,3,0,39,0,134,"6,885",133,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							8,372,658,426","$                        							741,035,000,000","$                        							909,366,000,000","51,53,000","$                        							2,420,000,000,000","88,60,574","300                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Ethiopia,47,PwrIndx: 0.8525,"5,03,000","1,38,000",0,"3,53,27,989","27,26,657",104,25,0,9,34,0,0,33,7,338,"8,586",142,469,79,0,N/A,0,0,0,0,0,0,0,"$                        							3,720,968,976","$                        							380,895,000,000","$                        							3,784,000,000","5,44,70,000","$                        							25,426,000,000","11,85,50,298","0                        						
							bbl","428,000                        						
							bbl","0                        						
							Cu.M"
Finland,48,PwrIndx: 0.8673,"24,000","8,70,000","53,800","19,12,981","56,264",162,53,0,11,77,1,0,27,0,200,"14,866",125,667,76,165,"19,434",0,0,0,0,0,0,8,"$                        							8,890,000,000","$                        							313,591,000,000","$                        							17,993,000,000","28,98,000","$                        							726,000,000,000","56,26,414","8,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Chile,49,PwrIndx: 0.8704,"80,000","40,000","50,000","75,21,855","2,98,634",274,45,0,33,92,18,5,86,0,386,"7,480",48,249,9,130,"1,76,065",0,0,4,0,8,0,40,"$                        							6,800,000,000","$                        							596,556,000,000","$                        							44,403,000,000","1,00,88,000","$                        							235,950,000,000","1,86,64,652","11,000                        						
							bbl","150,000,000                        						
							bbl","1,200,000,000                        						
							Cu.M"
Peru,50,PwrIndx: 0.8827,"1,20,000","3,86,000","60,000","1,26,81,497","6,19,405",252,15,22,39,68,12,0,112,16,355,"9,168",12,290,61,78,"1,71,629",0,0,6,0,7,8,13,"$                        							2,552,000,000","$                        							535,911,000,000","$                        							79,246,000,000","1,89,18,000","$                        							38,102,000,000","3,26,00,249","118,000                        						
							bbl","858,890,000                        						
							bbl","12,270,000,000                        						
							Cu.M"
Venezuela,51,PwrIndx: 0.9106,"1,09,000","8,000","2,20,000","1,28,12,625","6,25,006",224,30,0,47,75,3,1,85,10,282,"15,168",60,92,56,41,N/A,0,0,3,0,1,0,26,"$                        							6,060,000,000","$                        							110,943,000,000","$                        							9,944,750,000","1,11,36,000","$                        							121,363,000,000","3,12,50,306","801,000                        						
							bbl","303,806,000,000                        						
							bbl","17,696,000,000                        						
							Cu.M"
Romania,52,PwrIndx: 0.9558,"90,000","55,000","15,000","77,31,114","1,99,630",148,29,0,13,44,2,0,66,0,451,"13,266",0,720,243,18,N/A,0,0,0,0,3,7,0,"$                        							10,230,630,000","$                        							774,376,000,000","$                        							73,391,000,000","82,63,000","$                        							145,200,000,000","1,81,48,155","67,000                        						
							bbl","600,000,000                        						
							bbl","9,501,000,000                        						
							Cu.M"
Uzbekistan,53,PwrIndx: 0.9908,"1,20,000",0,"20,000","1,59,59,499","7,30,412",159,26,13,12,7,0,0,101,34,470,"8,692",177,236,108,0,N/A,0,0,0,0,0,0,0,"$                        							6,210,000,000","$                        							379,989,000,000","$                        							41,237,000,000","1,39,74,000","$                        							25,714,000,000","3,65,20,593","64,000                        						
							bbl","594,000,000                        						
							bbl","47,500,000,000                        						
							Cu.M"
United Arab Emirates,54,PwrIndx: 1.0188,"65,000","1,30,000","12,000","49,45,881","80,258",581,99,40,35,151,27,5,250,30,354,"8,982",165,99,49,84,"20,210",0,0,0,0,0,11,34,"$                        							23,480,000,000","$                        							745,994,000,000","$                        							237,931,000,000","70,90,000","$                        							290,400,000,000","1,00,32,213","4,146,000                        						
							bbl","97,800,000,000                        						
							bbl","56,683,000,000                        						
							Cu.M"
Czechia,55,PwrIndx: 1.0313,"30,334","4,900",0,"41,29,236","97,541",103,12,16,10,21,2,0,42,4,20,"6,275",53,0,16,0,N/A,0,0,0,0,0,0,0,"$                        							9,174,000,000","$                        							521,928,000,000","$                        							146,281,000,000","55,41,000","$                        							232,320,000,000","1,08,37,890","4,000                        						
							bbl","15,000,000                        						
							bbl","224,725,000                        						
							Cu.M"
Morocco,56,PwrIndx: 1.0368,"4,00,000","2,50,000","50,000","1,52,54,135","6,35,589",271,84,0,31,77,4,2,73,6,"1,346","17,594",544,188,185,100,N/A,0,0,0,0,6,1,84,"$                        							16,100,000,000","$                        							350,594,000,000","$                        							37,134,000,000","1,24,75,000","$                        							42,262,000,000","3,73,87,585","25                        						
							bbl","684,000                        						
							bbl","82,595,000                        						
							Cu.M"
Hungary,57,PwrIndx: 1.0429,"41,600","20,000","15,000","37,94,462","1,18,269",80,12,0,3,17,0,0,50,8,220,"11,502",24,295,0,0,N/A,0,0,0,0,0,0,0,"$                        							5,887,250,000","$                        							389,207,000,000","$                        							46,422,000,000","49,54,000","$                        							151,250,000,000","98,55,745","36,000                        						
							bbl","12,100,000                        						
							bbl","1,523,000,000                        						
							Cu.M"
Kazakhstan,58,PwrIndx: 1.0433,"1,10,000","1,35,000","55,000","69,28,922","2,83,640",168,37,13,21,25,0,0,72,12,353,"17,460",126,194,287,26,N/A,0,0,0,0,0,0,23,"$                        							5,836,386,000","$                        							739,385,000,000","$                        							45,808,000,000","1,02,85,000","$                        							25,765,000,000","2,02,60,006","1,955,000                        						
							bbl","30,000,000,000                        						
							bbl","27,011,000,000                        						
							Cu.M"
Angola,59,PwrIndx: 1.1045,"1,07,000",0,"10,000","37,20,206","3,72,021",278,67,6,32,56,2,0,115,14,319,"2,258",25,575,116,32,N/A,0,0,0,0,0,0,32,"$                        							31,200,000,000","$                        							278,239,000,000","$                        							14,243,000,000","1,59,61,000","$                        							45,299,000,000","3,72,02,061","1,175,000                        						
							bbl","7,783,000,000                        						
							bbl","5,514,000,000                        						
							Cu.M"
Azerbaijan,60,PwrIndx: 1.1991,"1,28,000","3,06,000","15,000","39,08,638","1,59,754",159,12,20,4,36,0,0,87,16,"1,354","14,448",135,651,696,32,N/A,0,0,4,0,0,0,17,"$                        							5,100,000,000","$                        							225,198,000,000","$                        							12,699,000,000","50,20,000","$                        							12,378,000,000","1,06,50,239","618,000                        						
							bbl","7,000,000,000                        						
							bbl","34,175,000,000                        						
							Cu.M"
Belgium,61,PwrIndx: 1.2201,"26,390","6,600",0,"38,80,753","1,19,776",104,44,12,7,27,0,0,14,0,0,"3,588",0,0,0,9,"10,190",0,0,0,0,2,0,2,"$                        							14,900,000,000","$                        							749,229,000,000","$                        							41,449,000,000","54,16,000","$                        							1,594,190,730,000","1,19,77,634","11,000                        						
							bbl","0                        						
							bbl","13,436,000                        						
							Cu.M"
Bulgaria,62,PwrIndx: 1.2522,"36,950","3,000",0,"26,11,324","61,044",71,11,5,6,26,0,0,23,4,334,"6,724",48,24,24,45,N/A,0,0,0,0,6,3,0,"$                        							2,485,350,000","$                        							219,645,000,000","$                        							43,698,000,000","31,24,000","$                        							14,277,000,000","67,82,659","4,000                        						
							bbl","15,000,000                        						
							bbl","20,837,000                        						
							Cu.M"
Serbia,63,PwrIndx: 1.2938,"22,500","2,000","6,00,000","25,74,406","79,827",115,11,17,3,33,0,0,51,4,242,"7,190",96,150,73,30,N/A,0,0,0,0,0,0,18,"$                        							2,770,000,000","$                        							177,093,000,000","$                        							30,484,000,000","32,30,000","$                        							21,726,000,000","66,52,212","13,000                        						
							bbl","77,500,000                        						
							bbl","353,376,000                        						
							Cu.M"
