Country,Power_Index,defense_spending,purchasing_power_parity,coastline_coverage,border_coverage,total_aircraft_strength,tank_strength,total_naval_assets,fighter_aircraft,attack_aircraft,transport_aircraft,total_military_manpower,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,external_debt_usd,foreign_exchange_gold_reserves,total_serviceable_airports,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,waterway_coverage_km,Flag_URL,Power_Index_Rank_Gap,Power_Index_Rank,economic_assets_per_military_manpower,budget_to_gdp_ratio,Region,Alliance
Bangladesh,0.6517,3340000000,1.47E+12,580,4413,212,320,121,41,0,17,204000,83,4,0,67,0,320,11584,36,487,103,121,75280,0,0,2,0,7,6,61,3340000000,58020000000,21395000000,17,2,558,2460,369105,13000,263000,28000000,24620000000,30384000000,1.26E+11,767000,14050000,3260000000,148460,8370,https://www.globalfirepower.com/imgs/flags/sml/bangladesh.jpg,0.0142,37,7220588.235,0.002267481,Asia,None
Portugal,0.6659,6760000000,5.57E+11,1793,1224,128,34,128,28,5,20,25000,23,16,4,36,0,34,10419,23,54,0,128,42755,0,0,2,0,5,2,71,6760000000,5.30E+11,55160000000,136,36,1158,3622,136635,12932,200000,22440000,0,3700000000,72000000000,0,0,40000000,92090,764,https://www.globalfirepower.com/imgs/flags/sml/portugal.jpg,0.002,38,22277680,0.012137709,Europe,NATO
Norway,0.6679,11189483200,5.08E+11,25148,2566,109,36,48,0,43,4,33440,23,5,0,34,0,36,11441,28,0,0,48,66022,0,0,6,0,4,6,20,11189483200,7.88E+11,81242000000,146,141,1720,3848,95120,2020000,229000,8122200000,1.24E+11,4548000000,1.54E+12,120000,1096000,2000000,323802,1577,https://www.globalfirepower.com/imgs/flags/sml/norway.jpg,0.0164,39,15181818.18,0.022040425,Europe,NATO
South Africa,0.6843,2877000000,8.70E+11,2798,5244,181,248,63,2,0,11,68731,81,0,0,87,10,248,23024,52,434,201,63,43881,0,0,3,0,4,0,42,2877000000,93879000000,65435000000,573,8,110,30400,750000,88000,609000,15000000,59128000,4487000000,0,239712000,176095000,9893000000,1219090,0,https://www.globalfirepower.com/imgs/flags/sml/south-africa.jpg,0.015,40,12664154.46,0.003305301,Africa,None
Philippines,0.6993,6571641011,1.20E+12,36289,0,204,18,127,0,17,23,160000,23,11,0,130,6,18,20551,12,296,0,127,84578,0,0,0,0,4,1,60,6571641011,63241000000,1.06E+11,256,70,2203,77,216387,10000,457000,138500000,2251000000,2251000000,98543000000,14457000,42859000,361000000,300000,3219,https://www.globalfirepower.com/imgs/flags/sml/philippines.jpg,0.0386,41,7512500,0.005467255,Asia,None
Malaysia,0.7379,5100000000,1.21E+12,4675,2742,132,48,100,25,11,15,113000,31,6,4,45,0,48,15415,0,196,36,100,67735,0,0,2,0,2,4,72,5100000000,8748000000,1.16E+11,100,35,1750,1851,144403,582000,672000,3600000000,75456000000,42499000000,1.19E+12,4476000,35741000,226000000,329847,7200,https://www.globalfirepower.com/imgs/flags/sml/malaysia.jpg,0.0172,42,10725663.72,0.004207921,Asia,None
Colombia,0.7551,15800000000,9.78E+11,3208,6672,430,0,213,16,24,82,429000,72,27,1,255,0,0,12780,6,110,0,213,31090,0,0,4,0,9,2,158,15800000000,1.08E+11,61898000000,661,14,153,2141,206102,800000,374000,2036000000,11290000000,11451000000,87782000000,52376000,9720000,4554000000,1138910,24725,https://www.globalfirepower.com/imgs/flags/sml/colombia.jpg,0.0564,43,2279776.224,0.016155023,South America,None
Iraq,0.8115,8000000000,5.86E+11,58,3809,360,1188,67,26,36,15,193000,111,17,0,183,39,1188,37496,434,610,572,67,32565,0,0,0,0,0,1,55,8000000000,15580000000,1.01E+11,73,6,74,2272,59623,4448000,1043000,1.45E+11,9860000000,19298000000,3.73E+12,0,0,0,438317,5279,https://www.globalfirepower.com/imgs/flags/sml/iraq.jpg,0.0083,44,3035683.938,0.01365451,Asia,None
Denmark,0.8198,14250000000,4.41E+11,7314,140,122,44,50,26,19,4,21000,36,3,0,34,0,44,5930,19,0,8,50,121180,0,0,0,0,9,0,9,14250000000,6.11E+11,1.08E+11,102,69,715,2682,73591,63000,151000,441000000,1879000000,2208000000,29534000000,0,1135000,0,43094,400,https://www.globalfirepower.com/imgs/flags/sml/denmark.jpg,0.0198,45,20978952.38,0.032345344,Europe,NATO
Switzerland,0.8396,8372658426,7.41E+11,0,1770,141,134,0,40,0,16,147178,43,3,0,39,0,134,6885,133,0,0,0,,0,0,0,0,0,0,0,8372658426,2.42E+12,9.09E+11,66,0,17,5296,83131,300,194000,0,0,3138000000,0,0,126000,0,41277,1292,https://www.globalfirepower.com/imgs/flags/sml/switzerland.jpg,0.0129,46,5034957.67,0.011298601,Europe,None
