country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,external_debt,power_index,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,rocket_artillery_stock,rocket_artillery_readiness
Belgium,11977634,749229000000,14900000000,4910830,26390,6600,5700,11547,1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,1594190730000,1.2201,0,0,0,0,0,0,0,0
Indonesia,281562465,4102000000000,11155297716,137965608,404500,401000,30100,300400,66034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,10.0,26.0,4.0,211.0,10.0,225273000000,0.2582,331,215,153,99,396,257,67,44
Republic Of The Congo,6097665,39147000000,933360000,2256136,10000,0,675,9325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6360000000,2.6259,61,31,3,2,38,19,30,15
Argentina,46994384,1213000000000,993919790,20677529,108000,12370,14000,108000,18370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,3.0,0.0,6.0,2.0,13.0,0.0,74362000000,0.5983,362,199,20,11,172,95,27,15
Lebanon,5364482,65415000000,800000000,2092148,80000,15000,2500,99000,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,41619000000,2.6521,334,184,12,7,350,193,11,6
Angola,37202061,278239000000,31200000000,7440412,107000,0,6000,100000,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,45299000000,1.1045,319,191,25,15,575,345,116,70
Eritrea,6343956,2534000000,219000000,2220385,350000,680000,250,275000,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,461376000,2.6841,148,67,45,20,89,40,44,20
Iran,88386937,1486000000000,9230000000,49496685,610000,350000,37000,350000,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,7.0,3.0,25.0,21.0,1.0,6759000000,0.3199,2,1,424,254,1,1,1,930
Georgia,4900961,91849000000,680000000,2744538,37000,205500,3000,205500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,9085000000,2.0779,132,73,67,37,121,67,42,23
Canada,38794813,2341000000000,45824959620,16681770,63500,23000,15560,49300,16300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,12.0,0.0,4.0,17.0,0.0,2571113270000,0.5269,74,56,0,0,0,0,0,0
Bahrain,1566888,93937000000,997015509,846120,18400,110000,1500,130000,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,54450000000,1.6731,150,90,38,23,26,16,18,11
Laos,7953556,66905000000,355600000,3499565,100000,30000,500,130000,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9619000000,2.8672,160,104,50,33,97,63,64,42
Tanzania,67462121,246706000000,1476113361,12143182,25000,0,1825,21975,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,17513000000,1.9111,200,100,0,0,205,103,70,35
South Sudan,12703714,6752000000,30700000,6351857,185000,0,230,184120,325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722500000,2.4645,122,67,24,13,0,0,15,8
Senegal,18847519,83183000000,777800000,7162057,17000,0,1000,15460,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14985000000,2.8925,0,0,0,0,20,10,6,3
Kenya,58246378,328632000000,1651803025,21551160,50000,0,4175,50000,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,31451000000,1.8588,188,103,18,10,53,29,0,0
Finland,5626414,313591000000,8890000000,2306830,24000,870000,41100,42000,6700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,726000000000,0.8673,200,150,125,94,667,500,76,57
Philippines,118277063,1202000000000,6571641011,50859137,160000,1500000,33600,1310000,42270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,4.0,1.0,0.0,60.0,0.0,63241000000,0.6993,18,11,12,7,296,178,0,0
Netherlands,17772378,1276000000000,31791150000,7997570,44245,8510,9500,53212,24822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,6.0,0.0,3.0,76.0,3.0,5257949730000,0.6142,18,13,46,32,0,0,4,3
Israel,9402617,472177000000,34600000000,3949099,169500,465000,89000,526000,19500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,7.0,6.0,66.0,0.0,163350000000,0.2707,1,1,323,258,171,137,228,182
El Salvador,6628702,73961000000,1037200000,3181777,25000,0,2000,20500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,12668000000,2.9973,0,0,0,0,76,49,0,0
Ivory Coast,29981758,215018000000,18200000,12292521,22000,0,460,22000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,26576000000,2.3884,0,0,0,0,4,2,6,3
Croatia,4150116,164825000000,2744000000,2033557,14325,20100,1500,7000,1365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,60500000000,1.5432,55,44,25,20,42,34,42,34
Mongolia,3281676,59221000000,1590000000,1870555,35000,230000,1500,35000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8379000000,1.9987,420,231,0,0,500,275,130,72
Ireland,5233461,620544000000,1754400500,2407392,7557,1720,690,7705,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3630000000000,2.0661,0,0,0,0,0,0,0,0
Cuba,10966038,81165000000,3301500000,5921661,50000,40000,4120,90000,3550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,36372600000,1.3345,194,107,140,77,364,200,200,110
Bhutan,884546,11517000000,26600000,203446,16000,50000,0,66000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827000000,5.7991,0,0,0,0,0,0,0,0
Jordan,11174024,109986000000,2668500000,3463947,114500,100000,14000,146000,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,21058000000,1.5581,1,980,478,311,80,52,84,55
Turkmenistan,5744151,134555000000,1463000000,2768681,36500,0,3000,42760,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3696000000,1.7459,654,392,73,44,457,274,164,98
Honduras,9529188,71297000000,612300000,4192843,52225,0,8520,83000,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,7785000000,2.2575,22,14,0,0,48,31,0,0
India,1409128296,14244000000000,109000000000,662290299,1431000,1000000,289000,2148000,148869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,2.0,0.0,13.0,18.0,21.0,18.0,146.0,0.0,212728000000,0.1346,3,2,100,75,5,4,300,225
Kosovo,1977093,25019000000,1177450000,917371,4000,5000,0,9000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785739000,3.8041,0,0,0,0,0,0,0,0
Singapore,6028459,800304000000,18000000000,3918498,51000,252500,13500,280000,9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,6.0,6.0,6.0,55.0,4.0,1884751660000,0.5272,170,128,48,36,89,67,24,18
Mali,21990607,71253000000,1110000000,6817088,40000,0,550,44800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4085000000,2.2598,0,0,0,0,50,23,30,14
Venezuela,31250306,110943000000,6060000000,15625153,109000,8000,10755,300745,25500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,3.0,26.0,0.0,121363000000,0.9106,282,169,60,36,92,55,56,34
Zimbabwe,17150352,57391000000,1976800000,6517134,29000,0,5000,25000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6671000000,2.2801,60,33,0,0,0,0,0,0
United Arab Emirates,10032213,745994000000,23480000000,5818684,65000,130000,7000,44000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,11.0,0.0,34.0,2.0,290400000000,1.0188,354,212,165,99,99,59,49,29
Bulgaria,6782659,219645000000,2485350000,3187850,36950,3000,8500,39950,4450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,14277000000,1.2522,334,217,48,31,24,16,24,16
Benin,14697052,56424000000,137690000,5584880,4750,0,300,4750,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6309000000,3.8963,0,0,0,0,16,7,0,0
Paraguay,7522549,112919000000,416800000,3535598,15650,168500,1100,180000,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13783000000,1.7974,10,6,6,3,50,28,0,0
Japan,123201945,5715000000000,58000000000,52976836,251500,56000,50000,206700,50800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,4.0,41.0,8.0,0.0,23.0,6.0,18.0,5147667910000,0.1876,734,587,193,154,480,384,99,79
Albania,3107100,51360000000,720037190,1522479,7500,0,650,2335,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,5363000000,1.7258,0,0,10,7,0,0,270,176
Guatemala,18255216,232673000000,616000000,7484639,106114,90000,2210,196114,3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,11862000000,2.1277,0,0,0,0,110,66,0,0
Saudi Arabia,36544431,2213000000000,63988055520,19003104,247000,0,30000,75000,13500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,7.0,9.0,0.0,9.0,3.0,248171000000,0.4473,1,705,380,247,557,362,327,213
Yemen,32140443,18719000000,405187500,12213368,33350,0,3850,56350,3250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,6492000000,2.1617,0,0,12,6,60,30,30,15
Ecuador,18309984,252728000000,2963400000,8422593,41250,118000,6200,25650,9400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,6.0,2.0,5.0,0.0,39658000000,1.4479,202,121,5,3,106,64,24,14
Poland,38746310,1649000000000,55865141600,18985692,250000,350000,16500,110000,8240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,29.0,425641700000,0.3891,798,519,593,385,0,0,298,194
Ghana,34589092,243124000000,954423756,14873310,15500,0,1860,55000,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,29241000000,2.4566,0,0,0,0,6,4,6,4
Taiwan,23595274,1743000000000,31180000000,12269542,230000,1657000,125000,94000,107000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,4.0,21.0,7.0,4.0,36.0,10.0,229900000000,0.3927,1,709,488,317,1,884,223,145
Madagascar,29452714,52968000000,147630000,11192031,13500,0,300,21600,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3548000000,3.0381,12,7,0,0,17,9,0,0
Mozambique,33350954,51786000000,480000000,14674420,11200,0,4000,11200,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,8274000000,1.9769,60,30,0,0,104,52,12,6
Italy,60964931,3133000000000,37325165000,27434219,165500,18300,43000,97755,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,3025000000000,0.2211,203,142,64,45,108,76,21,15
