country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,external_debt,power_index,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,rocket_artillery_stock,rocket_artillery_readiness
Sudan,50467278,94420000000,394700000,26747657,300000,200000,13000,485500,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,21650000000,1.3563,1,580,100,55,1,633,800,440
Somalia,13017273,26770000000,870000000,2993973,30000,0,550,29150,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2563000000,3.7393,0,0,0,0,0,0,0,0
Gabon,2455105,48045000000,340950000,932940,5000,0,900,4500,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6442000000,3.0432,0,0,0,0,4,2,28,15
Oman,3901992,193591000000,8364000000,1482757,100000,0,6145,100000,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,55986700000,1.8823,264,145,24,13,144,79,0,0
Mauritania,4328040,33069000000,270625000,1687936,31540,66000,1105,102540,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3072000000,2.7919,51,26,0,0,75,38,0,0
Myanmar,57527139,287559000000,2815031361,30489384,228000,19000,25000,255000,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,6.0,3.0,3.0,146.0,2.0,8748000000,0.6265,1,572,225,124,1,924,1,836
North Macedonia,2135622,43844000000,421527100,948216,10010,60000,950,70011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5637000000,2.4956,0,0,0,0,156,86,18,10
Egypt,111247248,1958000000000,5193500000,45611372,438500,479000,50000,685000,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,2.0,0.0,13.0,7.0,8.0,61.0,17.0,117272000000,0.3651,3,2,1,739,962,673,648,454
Armenia,2976765,60909000000,1480000000,1666988,65000,210000,5000,65000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6002000000,2.2016,109,60,104,57,193,106,100,55
Kyrgyzstan,6172101,50907000000,654000000,3147772,23000,0,500,20000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617000000,2.3969,215,129,30,18,174,104,21,13
Montenegro,599849,17375000000,204000000,143964,2350,0,480,1500,550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3643000000,2.9782,0,0,0,0,12,7,12,7
Thailand,69920998,1558000000000,6006660000,36358919,360850,200000,46000,245000,69850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,1.0,0.0,7.0,5.0,0.0,254.0,5.0,37065000000,0.4458,744,484,59,38,595,387,17,11
Uzbekistan,36520593,379989000000,6210000000,18990708,120000,0,15000,95000,550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25714000000,0.9908,470,259,177,97,236,130,108,59
Tunisia,12048847,156086000000,2172751250,6024424,89800,0,4500,150000,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,21212000000,1.7823,145,87,0,0,105,63,0,0
Slovakia,5563649,218762000000,2900000000,2837461,20982,0,3200,18282,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140360000000,1.3911,45,32,35,25,9,6,25,18
France,68374591,3732000000000,67232395000,30084820,264000,43444,44120,141600,47000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.0,3.0,11.0,5.0,0.0,9.0,22.0,19.0,7691315390000,0.1798,427,342,74,59,0,0,9,7
Sweden,10589835,668628000000,15900000000,4235934,25600,34000,8255,15300,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,7.0,4.0,116.0,8.0,1102693570000,0.4834,110,83,24,18,0,0,0,0
Belarus,9501451,265220000000,1034784000,5035769,63000,365400,11300,18000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18010000000,1.4072,577,375,357,232,190,124,206,134
Syria,23865423,98858000000,145925000,15273871,100000,0,7500,100000,3250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4441250000,1.8861,168,84,60,30,0,0,0,0
Central African Republic,5650957,5926000000,300000000,2203873,30000,0,100,30000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724179000,4.2381,0,0,0,0,0,0,0,0
Lithuania,2628186,136227000000,5651760000,1708321,23000,104000,1500,21000,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,48400000000,1.8949,0,0,16,10,54,32,0,0
Germany,84119100,5247000000000,127400090000,38694786,184324,860000,27725,63000,15531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,11.0,6.0,6.0,54.0,12.0,6862470230000,0.2463,296,222,134,101,0,0,33,25
South Africa,60442647,870420000000,2877000000,27803618,68731,29350,13815,53872,7890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,4.0,0.0,3.0,42.0,4.0,93879000000,0.6843,248,161,52,34,434,282,201,131
Estonia,1193791,57001000000,2375000000,584958,7700,230000,400,44000,550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,29040000000,2.3201,0,0,48,34,0,0,6,4
Qatar,2552088,317064000000,11950000000,638022,26550,4000,2000,12500,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,4.0,0.0,107.0,0.0,205700000000,1.4096,62,40,46,30,12,8,16,10
Namibia,2803660,31154000000,450498000,616805,17567,0,1175,8500,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,9680000000,2.7414,7,4,0,0,50,25,55,28
Algeria,47022473,722912000000,25000000000,22570787,130000,150000,14000,280000,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,8.0,8.0,6.0,75.0,3.0,4764000000,0.4849,1,965,224,146,483,314,188,122
Sri Lanka,21982608,301407000000,1500000000,10551652,346000,90000,26000,150000,40000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,5.0,0.0,0.0,259.0,0.0,42198000000,1.3822,87,52,0,0,96,58,28,17
North Korea,26298666,15416000000,4750000000,9467520,1320000,560000,110000,1370000,60000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,2.0,2.0,8.0,24.0,227.0,1.0,6050000000,0.5933,4,2,1,650,700,350,1,750
Greece,10461091,192205000000,8242150000,4916713,142700,221350,42500,200000,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,14.0,0.0,9.0,45.0,3.0,605000000000,0.5484,1,874,589,383,698,454,152,99
Libya,7361263,90609000000,1474800000,3827857,32000,0,1000,85000,7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3654200000,1.7872,55,22,20,8,38,15,25,10
Bolivia,12311974,122200000000,467670000,5417269,40000,40000,10000,43000,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11174000000,1.8301,54,30,0,0,58,32,0,0
Malaysia,34564810,1212000000000,5100000000,16245461,113000,51600,15000,130000,18000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,4.0,2.0,72.0,4.0,8748000000,0.7379,48,29,0,0,196,118,36,22
Ethiopia,118550298,380895000000,3720968976,56904143,503000,138000,5000,626000,11500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25426000000,0.8525,338,220,142,92,469,305,79,51
Austria,8967982,581131000000,6103900800,4035592,25000,125600,4300,141000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693000000000,1.3759,56,42,30,23,0,0,0,0
Hungary,9855745,389207000000,5887250000,4632200,41600,20000,5750,32000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151250000000,1.0429,220,154,24,17,295,207,0,0
